مساحة خاصة, 1, 1.0
طبق باستا بالصوص, 1, 0.5
الطعام بشكل طازج, 1, 1.0
طلب حساء الفطر, 1, 0.25
سلطة خضار, 1, 0.33333334
لديكم بطاطا حلوة مقلية, 1, 0.5
من المشروبات الباردة والساخنة, 1, 1.0
الحصول على خبز اضافي, 1, 1.0
هي كلمة سر, 1, 1.0
تقترحها, 1, 1.0
اضافي مع الطعام, 1, 1.0
تتوفر خدمة, 1, 1.0
مثلج بنكهة الليمون, 1, 0.5
يعاني من, 3, 1.0
خبز اضافي مع الطعام, 1, 1.0
التي تقترحها, 1, 1.0
توفرون قائمة طعام, 2, 1.0
هل توفرون خدمة التوصيل, 1, 0.33333334
العصائر الطازجة, 1, 1.0
يمكنني طلب بوظة, 4, 0.33333334
بالصلصة, 1, 1.0
احجام, 1, 1.0
بنكهة الحمضيات, 1, 0.125
اريد طلب سلطة سيزر, 1, 0.5
مناسبة خاصة في المطعم, 1, 1.0
هل لديكم وجبة, 1, 0.045454547
هل يمكنك احضار كأس, 1, 0.25
توفرون مشروبات غازية, 1, 0.33333334
طلبية توصيل, 1, 1.0
توفرون خدمة التوصيل, 1, 0.33333334
اضافة بوطة, 1, 0.125
على طبقي, 1, 0.04347826
توصيل خارجية, 1, 0.25
ساعات, 1, 1.0
طاولة للغد, 1, 0.33333334
طاولة لسبعة أشخاص في, 1, 1.0
باستا بالصلصة, 1, 0.5
قوائم خاصة, 1, 0.5
طلب وجبة خاصة, 4, 0.36363637
بنكهة الشوكولاطة مع اضافة, 1, 1.0
على طلبية توصيل, 1, 1.0
قائمة طعام لمن, 1, 0.14285715
طلب ساندويتش, 5, 0.072463766
الحصل على طبق بطاطس, 1, 1.0
من الكافيين, 1, 0.032258064
اريد طلب كعكة, 2, 0.035714287
طلب كوب كابتشينو, 3, 0.3
طلب طبقان, 1, 0.014492754
ثلاثة ساندويتش, 1, 1.0
بنكهة الفراولة, 1, 0.125
بنكهة الشوكولاطة, 1, 0.125
بالمناسبات والحفلات, 1, 0.5
